CidAdaptadaId;Codigo;Diagnostico
102;A187;Tuberculose das supra-renais
103;A188;Tuberculose de outros órgãos especificados
104;A19;Tuberculose miliar
105;A190;Tuberculose miliar aguda de localização única e especificada
106;A191;Tuberculose miliar aguda de múltiplas localizações
107;A192;Tuberculose miliar aguda não especificada
108;A198;Outras tuberculoses miliares
109;A199;Tuberculose miliar não especificada
110;A200;Peste bubônica
111;A201;Peste celulocutânea
112;A202;Peste pneumônica
113;A203;Peste meníngea
114;A207;Peste septicêmica
115;A208;Outras formas de peste
116;A209;Peste, forma não especificada
117;A210;Tularemia ulceroglandular
118;A211;Tularemia oculoglandular
119;A212;Tularemia pulmonar
120;A213;Tularemia gastrointestinal
121;A217;Tularemia generalizada
122;A218;Outras formas de tularemia
123;A219;Tularemia, forma não especificada
124;A220;Carbúnculo cutâneo
125;A221;Carbúnculo pulmonar
126;A222;Carbúnculo gastrointestinal
127;A227;Septicemia carbunculosa
128;A228;Outras formas de carbúnculo
129;A229;Carbúnculo, forma não especificada
130;A230;Brucelose por Brucella melitensis
131;A231;Brucelose por Brucella abortus
132;A232;Brucelose por Brucella suis
133;A233;Brucelose por Brucella canis
134;A238;Outras bruceloses
135;A239;Brucelose não especificada
136;A240;Mormo
137;A241;Melioidose aguda e fulminante
138;A242;Melioidose subaguda e crônica
139;A243;Outras melioidoses
140;A244;Melioidose não especificada
141;A250;Espirilose
142;A251;Estreptobacilose
143;A259;Febre transmitida por mordedura de rato, tipo não especificado
144;A260;Erisipelóide cutâneo
145;A267;Septicemia por Erysipelothrix
146;A268;Outras formas de erisipelóide
147;A269;Erisipelóide não especificado
148;A27;Leptospirose
149;A270;Leptopirose icterohemorrágica
150;A278;Outras formas de leptospirose
151;A279;Leptospirose não especificada
152;A280;Pasteurelose
153;A281;Doença por arranhadura do gato
154;A282;Yersiniose extra-intestinal
155;A288;Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
156;A289;Doença bacteriana zoonótica não especificada
157;A30;Hanseníase
158;A300;Hanseníase [lepra] indeterminada
159;A301;Hanseníase [lepra] tuberculóide
160;A302;Hanseníase [lepra] tuberculóide borderline
161;A303;Hanseníase [lepra] dimorfa
162;A304;Hanseníase [lepra] lepromatosa borderline
163;A305;Hanseníase [lepra] lepromatosa
164;A308;Outras formas de hanseníase [lepra]
165;A309;Hanseníase [lepra] não especificada
166;A310;Infecção pulmonar micobacteriana
167;A311;Infecção cutânea micobacteriana
168;A318;Outras infecções micobacterianas
169;A319;Infecção micobacteriana não especificada
170;A320;Listeriose cutânea
171;A321;Meningite e meningoencefalite por listéria
172;A327;Septicemia listeriótica
173;A328;Outras formas de listeriose
174;A329;Listeriose não especificada
175;A33;Tétano do recém-nascido [neonatal]
176;A34;Tétano obstétrico
177;A35;Outros tipos de tétano
178;A35;Tétano
179;A36;Difteria
180;A360;Difteria faríngea
181;A361;Difteria nasofaríngea
182;A362;Difteria laríngea
183;A363;Difteria cutânea
184;A368;Outras formas de difteria
185;A369;Difteria não especificada
186;A37;Coqueluche
187;A370;Coqueluche por Bordetella pertussis
188;A371;Coqueluche por Bordetella parapertussis
189;A378;Coqueluche por outras espécies da Bordetella
190;A379;Coqueluche não especificada
191;A38;Escarlatina
192;A390;Meningite meningocócica
193;A391;Síndrome de Waterhouse-Friderichsen
194;A392;Meningococcemia aguda
195;A393;Meningococcemia crônica
196;A394;Meningococcemia não especificada
197;A395;Cardite por meningococos
198;A398;Outras infecções por meningococos
199;A399;Infecção meningocócica não especificada
200;A400;Septicemia por Streptococcus do grupo A
201;A401;Septicemia por Streptococcus do grupo B
202;A402;Septicemia por Streptococcus do grupo D
203;A403;Septicemia por Streptococcus pneumonia
204;A408;Outras septicemias estreptocócicas
205;A409;Septicemia estreptocócica não especificada
206;A41.9;Sepse
207;A41.9;Sepse cutânea
208;A41.9;Sepse por cateter
209;A41.9;Sepse Pulmonar
210;A41.9;Sepse Urinária
211;A41.9;Septicemia
212;A410;Septicemia por Staphylococcus aureus
213;A411;Septicemia por outros estafilococos especificados
214;A412;Septicemia por estafilococos não especificados
215;A413;Septicemia por Haemophilus influenzae
216;A414;Septicemia por anaeróbios
217;A415;Septicemia por outros microorganismos gram-negativos
218;A418;Outras septicemias especificadas
219;A419;Septicemia não especificada
220;A420;Actinomicose pulmonar
221;A421;Actinomicose abdominal
222;A422;Actinomicose cervicofacial
223;A427;Septicemia actinomicótica
224;A428;Outras formas de actinomicose
225;A429;Actinomicose não especificada
226;A430;Nocardiose pulmonar
227;A431;Nocardiose cutânea
228;A438;Outras formas de nocardiose
229;A439;Nocardiose não especificada
230;A440;Bartonelose sistêmica
231;A441;Bartonelose cutânea e cutâneo-mucosa
232;A448;Outras formas de bartonelose
233;A449;Bartonelose não especificada
234;A46;Erisipela
235;A46;Erisipela Bolhosa
236;A480;Gangrena gasosa
237;A481;Doença dos legionários
238;A482;Doença dos legionários não-pneumônica [febre de Pontiac]
239;A483;Síndrome do choque tóxico
240;A484;Febre purpúrica do Brasil
241;A488;Outras doenças bacterianas especificadas
242;A49.0;Infecção estafilocócica
243;A49.1;Infecção estreptocócica
244;A49.2;Infecção por Haemophilus influenzae
245;A490;Infecção estafilocócica de localização não especificada
246;A491;Infecção estreptocócica de localização não especificada
247;A492;Infecção por Haemophilus influenzae de localização não especificada
248;A493;Infecção por Mycoplasma de localização não especificada
249;A498;Outras infecções bacterianas de localização não especificada
250;A499;Infecção bacteriana não especificada
251;A500;Sífilis congênita precoce sintomática
252;A501;Sífilis congênita precoce, forma latente
253;A502;Sífilis congênita precoce não especificada
254;A503;Oculopatia sifilítica congênita tardia
255;A504;Neurossífilis congênita tardia [neurossífilis juvenil]
256;A505;Outras formas tardias e sintomáticas da sífilis congênita
257;A506;Sífilis congênita tardia latente
258;A507;Sífilis congênita tardia não especificada
259;A509;Sífilis congênita não especificada
260;A510;Sífilis genital primária
261;A511;Sífilis anal primária
262;A512;Sífilis primária de outras localizações
263;A513;Sífilis secundária da pele e das mucosas
264;A514;Outras formas de sífilis secundária
265;A515;Sífilis precoce latente
266;A519;Sífilis precoce não especificada
267;A520;Sífilis cardiovascular
268;A521;Neurossífilis sintomática
269;A522;Neurossífilis assintomática
270;A523;Neurossífilis não especificada
271;A527;Outras formas de sífilis tardia sintomática
272;A528;Sífilis tardia latente
273;A529;Sífilis tardia não especificada
274;A53.9;Sífilis
275;A530;Sífilis latente, não especificada se recente ou tardia
276;A539;Sífilis não especificada
277;A54.9;Gonorreia
278;A540;Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias
279;A541;Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias
280;A542;Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas
281;A543;Infecção gonocócica do olho
282;A544;Infecção gonocócica do sistema músculo-esquelético
283;A545;Faringite gonocócica
284;A546;Infecção gonocócica do ânus ou do reto
285;A548;Outras infecções gonocócicas
286;A549;Infecção gonocócica não especificada
287;A55;Linfogranuloma (venéreo) por clamídia
288;A55;Linfogranuloma venéreo
289;A56.0;Uretrite por Clamídia
290;A560;Infecções por clamídias do trato geniturinário inferior
291;A561;Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários
292;A562;Infecção por clamídias do trato geniturinário, localização não especificada
293;A563;Infecção do ânus e do reto por clamídias
294;A564;Infecção da faringe por clamídias
295;A568;Infecção por clamídias transmitida por via sexual, de outras localizações
296;A57;Cancro mole
297;A58;Donovanose
298;A58;Granuloma inguinal
299;A59.9;Tricomoníase
300;A590;Tricomoníase urogenital
301;A598;Outras localizações de tricomoníase
302;A599;Tricomoníase não especificada
303;A60,0;Herpes Genital
304;A600;Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
305;A601;Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
306;A609;Infecção anogenital não especificada pelo vírus do herpes
307;A630;Verrugas anogenitais (venéreas)
308;A638;Outras doenças especificadas de transmissão predominantemente sexual
309;A64;Doenças sexualmente transmitidas, não especificadas
310;A65;Sífilis não-venérea
311;A660;Lesões iniciais da bouba
312;A661;Papilomas múltiplos e bouba plantar úmida (cravo de bouba)
313;A662;Outras lesões cutâneas precoces da bouba
314;A663;Hiperceratose devida a bouba
315;A664;Gomas e úlceras devidas à bouba
316;A665;Gangosa
317;A666;Lesões osteoarticulares devidas à bouba
318;A667;Outras manifestações da bouba
319;A668;Bouba latente
320;A669;Bouba não especificada
321;A670;Lesões primárias da pinta
322;A671;Lesões intermediárias da pinta
323;A672;Lesões tardias da pinta
324;A673;Lesões mistas da pinta
325;A679;Pinta não especificada
326;A680;Febre recorrente transmitida por piolhos
327;A681;Febre recorrente transmitida por carrapatos
328;A689;Febre recorrente não especificada
329;A690;Estomatite ulcerativa necrotizante
330;A691;Outras infecções de Vincent
331;A692;Doença de Lyme
332;A698;Outras infecções especificadas por espiroquetas
333;A699;Infecção por espiroqueta, não especificada
334;A70;Infecções causadas por Clamídia psittaci
335;A710;Fase inicial do tracoma
336;A711;Fase ativa do tracoma
337;A719;Tracoma não especificado
338;A740;Conjuntivite causada por clamídias
339;A748;Outras doenças causadas por clamídias
340;A749;Infecção causada por clamídias não especificada
341;A750;Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii
342;A751;Tifo recrudescente [doença de Brill]
343;A752;Tifo por Rickettsia typhi
344;A753;Tifo por Rickettsia tsutsugamuchi
345;A759;Tifo não especificado
346;A770;Febre maculosa por Rickettsia richettsii
347;A771;Febre maculosa por Rickettsia conorii
348;A772;Febre maculosa devida à Rickettsia siberica
349;A773;Febre maculosa devida à Rickettsia australis
350;A778;Outras febres maculosas
351;A779;Febre maculosa não especificada
352;A78;Febre Q
353;A790;Febre das trincheiras
354;A791;Rickettsiose variceliforme devida à Rickettsia akari
355;A798;Outros tipos de rickettsioses especificadas
356;A799;Rickettsiose não especificada
357;A800;Poliomielite paralítica aguda, associada ao vírus vacinal
358;A801;Poliomielite paralítica aguda, vírus selvagem importado
359;A802;Poliomielite paralítica aguda, vírus selvagem indígena
360;A803;Poliomielites paralíticas agudas, outras e não especificadas
361;A804;Poliomielite aguda não-paralítica
362;A809;Poliomielite aguda não especificada
363;A810;Doença de Creutzfeldt-Jakob
364;A811;Panencefalite esclerosante subaguda
365;A812;Leucoencefalopatia multifocal progressiva
366;A818;Outras infecções por vírus atípicos do sistema nervoso central
367;A819;Infecção não especificada do sistema nervosos central por vírus atípicos
368;A82.9;Raiva
369;A820;Raiva silvestre
370;A821;Raiva urbana
371;A829;Raiva não especificada
372;A830;Encefalite japonesa
373;A831;Encefalite eqüina ocidental
374;A832;Encefalite eqüina oriental
375;A833;Encefalite de St. Louis
376;A834;Encefalite australiana
377;A835;Encefalite da Califórnia
378;A836;Doença pelo vírus de Rocio
379;A838;Outras encefalites por vírus transmitidas por mosquitos
380;A839;Encefalite não especificada por vírus transmitida por mosquitos
381;A840;Encefalite da taiga [encefalite vernoestival russa]
382;A841;Encefalite da Europa Central transmitida por carrapatos
383;A848;Outras encefalites por vírus transmitidas por carrapatos
384;A849;Encefalite não especificada por vírus transmitida por carrapatos
385;A850;Encefalite por enterovírus
386;A851;Encefalite por adenovírus
387;A852;Encefalite por vírus transmitido por artrópodes, não especificada
388;A858;Outras encefalites virais especificadas
389;A86;Encefalite viral, não especificada
390;A87.9;Meningite viral
391;A870;Meningite por enterovírus
392;A871;Meningite por adenovírus
393;A872;Coriomeningite linfocitária
394;A878;Outras meningites virais
395;A879;Meningite viral não especificada
396;A880;Febre exantemática por enterovírus [exantema de Boston]
397;A881;Vertigem epidêmica
398;A888;Outras infecções virais especificadas do sistema nervoso central
399;A89;Infecções virais não especificadas do sistema nervoso central
400;A90;Dengue
401;A90;Dengue [dengue clássico]
402;A91;Dengue Hemorrágica
403;A91;Febre hemorrágica devida ao vírus do dengue
404;A920;Febre de Chikungunya
405;A921;Febre de O'nyong-nyong
406;A922;Febre eqüina venezuelana
407;A923;Infecção pelo vírus West Nile
408;A924;Febre do vale do Rift
409;A928;Outras febres virais especificadas transmitidas por mosquitos
410;A929;Febre viral transmitida por mosquitos, não especificada
411;A930;Febre de Oropouche
412;A931;Febre por flebótomos
413;A932;Febre do Colorado transmitida por carrapatos
414;A938;Outras febres virais especificadas transmitidas por artrópodes
415;A94;Febre viral transmitida por artrópodes, não especificada
416;A95;Febre amarela
417;A950;Febre amarela silvestre
418;A951;Febre amarela urbana
419;A959;Febre amarela não especificada
420;A960;Febre hemorrágica de Junin
421;A961;Febre hemorrágica de Machupo
422;A962;Febre de Lassa
423;A968;Outras febres hemorrágicas por arenavírus
424;A969;Febre hemorrágica por arenavírus, não especificada
425;A980;Febre hemorrágica da Criméia (do Congo)
426;A981;Febre hemorrágica de Omsk
427;A982;Doença da floresta de Kyasanur
428;A983;Doença de Marburg
429;A984;Doença pelo vírus Ebola
430;A985;Febre hemorrágica com síndrome renal
431;A988;Outras febres hemorrágicas especificadas por vírus
432;A99;Febres hemorrágicas virais não especificadas
433;B00.3;Meningoencefalite Herpética
434;B000;Eczema herpético
435;B001;Dermatite vesicular devido ao vírus do herpes
436;B002;Gengivoestomatite e faringoamigdalite devida ao vírus do herpes
437;B003;Meningite devida ao vírus do herpes
438;B004;Encefalite devida ao vírus do herpes
439;B005;Afecções oculares devidas ao vírus do herpes
440;B007;Doença disseminada devida ao vírus do herpes
441;B008;Outras formas de infecção devida ao vírus do herpes
442;B009;Infecção não especificada devida ao vírus do herpes
443;B01;Varicela
444;B010;Meningite por varicela
445;B011;Encefalite por varicela
446;B012;Pneumopatia varicelosa
447;B018;Varicela com outras complicações
448;B019;Varicela sem complicação
449;B02;Herpes zoster
450;B020;Encefalite pelo vírus do herpes zoster
451;B021;Meningite pelo vírus do herpes zoster
452;B022;Herpes zoster acompanhado de outras manifestações neurológicas
453;B023;Herpes zoster oftálmico
454;B027;Herpes zoster disseminado
455;B028;Herpes zoster com outras complicações
456;B029;Herpes zoster sem complicação
457;B03;Varíola
458;B04;Varíola dos macacos [Monkeypox]
459;B05;Sarampo
460;B050;Sarampo complicado por encefalite
461;B051;Sarampo complicado por meningite
462;B052;Sarampo complicado por pneumonia
463;B053;Sarampo complicado por otite média
464;B054;Sarampo com complicações intestinais
465;B058;Sarampo com outras complicações
466;B059;Sarampo sem complicação
467;B06;Rubéola
468;B060;Rubéola com complicações neurológicas
469;B068;Rubéola com outras complicações
470;B069;Rubéola sem complicação
471;B07;Verrugas de origem viral
472;B080;Outras infecções por ortopoxvírus
473;B081;Molusco contagioso
474;B082;Exantema súbito [sexta doença]
475;B083;Eritema infeccioso [quinta doença]
476;B084;Estomatite vesicular devida a enterovírus com exantema
477;B085;Faringite vesicular devida a enterovírus
478;B088;Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
479;B09;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
480;B15;Hepatite A
481;B150;Hepatite A com coma hepático
482;B159;Hepatite A sem coma hepático
483;B16;Hepatite B
484;B160;Hepatite aguda B com agente Delta (co-infecção), com coma hepático
485;B161;Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático
486;B162;Hepatite aguda B sem agente Delta, com coma hepático
487;B169;Hepatite aguda B sem agente Delta e sem coma hepático
488;B17.1;Hepatite C
489;B17.2;Hepatite E
490;B170;Superinfecção Delta aguda de portador de hepatite B
491;B171;Hepatite aguda C
492;B172;Hepatite aguda E
493;B178;Outras hepatites virais agudas especificadas
494;B18;Hepatite viral crônica
495;B180;Hepatite viral crônica B com agente Delta
496;B181;Hepatite crônica viral B sem agente Delta
497;B182;Hepatite viral crônica C
498;B188;Outras hepatites crônicas virais
499;B189;Hepatite viral crônica não especificada
500;B19;Hepatite Viral
501;B190;Hepatite viral, não especificada, com coma
502;B199;Hepatite viral, não especificada, sem coma
503;B200;Doença pelo HIV resultando em infecções micobacterianas
504;B201;Doença pelo HIV resultando em outras infecções bacterianas
505;B202;Doença pelo HIV resultando em doença citomegálica
506;B203;Doença pelo HIV resultando em outras infecções virais
507;B204;Doença pelo HIV resultando em candidíase
508;B205;Doença pelo HIV resultando em outras micoses
509;B206;Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii
510;B207;Doença pelo HIV resultando em infecções múltiplas
511;B208;Doença pelo HIV resultando em outras doenças infecciosas e parasitárias
512;B209;Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada
513;B210;Doença pelo HIV resultando em sarcoma de Kaposi
514;B211;Doença pelo HIV resultando em linfoma de Burkitt
515;B212;Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin
516;B213;Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos
517;B217;Doença pelo HIV resultando em múltiplas neoplasias malignas
518;B218;Doença pelo HIV resultando em outras neoplasias malignas
519;B219;Doença pelo HIV resultando em neoplasia maligna não especificada
520;B220;Doença pelo HIV resultando em encefalopatia
521;B221;Doença pelo HIV resultando em pneumonite intersticial linfática
522;B222;Doença pelo HIV resultando em síndrome de emaciação
523;B227;Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte
524;B230;Síndrome de infecção aguda pelo HIV
525;B231;Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes)
526;B232;Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte
527;B238;Doença pelo HIV resultando em outra afecções especificadas
528;B24;AIDS
529;B24;Doença pelo vírus da imunodeficiência humana [HIV] não especificada
530;B24;SIDA
531;B25;Citomegalovirose cerebral
532;B25;Citomegalovirose pulmonar
533;B25;Doença por citomegalovírus
534;B250;Pneumonite por citomegalovírus 
535;B251;Hepatite por citomegalovírus
536;B252;Pancreatite por citomegalovírus
537;B258;Outras doenças por citomegalovírus
538;B259;Doença não especificada por citomegalovírus
539;B26;Caxumba
540;B260;Orquite por caxumba [parotidite epidêmica]
541;B261;Meningite por caxumba [parotidite epidêmica]
542;B262;Encefalite por caxumba [parotidite epidêmica]
543;B263;Pancreatite por caxumba [parotidite epidêmica]
544;B268;Caxumba [parotidite epidêmica] com outras complicações
545;B269;Caxumba [parotidite epidêmica] sem complicações
546;B27;Mononucleose infecciosa
547;B270;Mononucleose pelo vírus herpes gama
548;B271;Mononucleose por citomegalovírus
549;B278;Outras mononucleoses infecciosas
550;B279;Mononucleose infecciosa não especificada
551;B30;Conjuntivite viral
552;B300;Ceratoconjuntivite devida a adenovírus
553;B301;Conjuntivite devida a adenovírus
554;B302;Faringoconjuntivite viral
555;B303;Conjuntivite hemorrágica aguda endêmica (por enterovírus)
556;B308;Outras conjuntivites virais
557;B309;Conjuntivite viral não especificada
558;B330;Mialgia epidêmica
559;B331;Doença de Ross River
560;B332;Cardite viral
561;B333;Infecção por retrovírus não classificada em outra parte
562;B334;Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH]
563;B338;Outras doenças especificadas por vírus
564;B340;Infecção por adenovírus de localização não especificada
565;B341;Infecção por enterovírus de localização não especificada
566;B342;Infecção por coronavírus de localização não especificada
567;B343;Infecção por parvovírus de localização não especificada
568;B344;Infecção por papovavírus de localização não especificada
569;B348;Outras infecções por vírus de localização não especificada
570;B349;Infecção viral não especificada
571;B350;Tinha da barba e do couro cabeludo
572;B351;Tinha das unhas
573;B352;Tinha da mão
574;B353;Tinha dos pés
575;B354;Tinha do corpo
576;B355;Tinha imbricada
577;B356;Tinea cruris
578;B358;Outras dermatofitoses
579;B359;Dermatofitose não especificada
580;B360;Pitiríase versicolor
581;B361;Tinha negra
582;B362;Piedra branca
583;B363;Piedra negra
584;B368;Outras micoses superficiais especificadas
585;B369;Micose superficial não especificada
586;B37;Candidíase
587;B37.7;Sepse por Candida
588;B370;Estomatite por Candida
589;B371;Candidíase pulmonar
590;B372;Candidíase da pele e das unhas
591;B373;Candidíase da vulva e da vagina
592;B374;Candidíase de outras localizações urogenitais
593;B375;Meningite por Candida
594;B376;Endocardite por Candida
595;B377;Septicemia por Candida
596;B378;Candidíase de outras localizações
597;B379;Candidíase não especificada
598;B38;Coccidioidomicose
599;B380;Coccidioidomicose pulmonar aguda
600;B381;Coccidioidomicose pulmonar crônica
601;B382;Coccidioidomicose pulmonar não especificada
602;B383;Coccidioidomicose cutânea
603;B384;Meningite por coccidioidomicose
604;B387;Coccidioidomicose disseminada
605;B388;Outras formas de coccidioidomicose
606;B389;Coccidioidomicose não especificada
607;B39;Histoplasmose
608;B390;Histoplasmose pulmonar aguda por Histoplasma capsulatum
609;B391;Histoplasmose pulmonar crônica por Histoplasma capsulatum
610;B392;Histoplasmose pulmonar não especificada por Histoplasma capsulatum
611;B393;Histoplasmose disseminada por Histoplasma capsulatum
612;B394;Histoplasmose não especificada por Histoplasma capsulatum
613;B395;Histoplasmose por Histoplasma duboisii
614;B399;Histoplasmose não especificada
615;B40;Blastomicose
616;B400;Blastomicose pulmonar aguda
617;B401;Blastomicose pulmonar crônica
618;B402;Blastomicose pulmonar não especificada
619;B403;Blastomicose cutânea
620;B407;Blastomicose disseminada
621;B408;Outras formas de blastomicose
622;B409;Blastomicose não especificada
623;B41;Paracoccidioidomicose
624;B410;Paracoccidioidomicose pulmonar
625;B417;Paracoccidioidomicose disseminada
626;B418;Outras formas de paracoccidioidomicose
627;B419;Paracoccidioidomicose não especificada
628;B420;Esporotricose pulmonar
629;B421;Esporotricose linfocutânea
630;B427;Esporotricose disseminada
631;B428;Outras formas de esporotricose
632;B429;Esporotricose não especificada
633;B430;Cromomicose cutânea
634;B431;Abscesso cerebral feomicótico
635;B432;Abscesso e cisto feomicótico subcutâneos
636;B438;Outras formas de cromomicose
637;B439;Cromomicose não especificada
638;B44;Aspergilose
639;B440;Aspergilose pulmonar invasiva
640;B441;Outras aspergiloses pulmonares
641;B442;Aspergilose amigdaliana
642;B447;Aspergilose disseminada
643;B448;Outras formas de aspergilose
644;B449;Aspergilose não especificada
645;B450;Criptococose pulmonar
646;B451;Criptococose cerebral
647;B452;Criptococose cutânea
648;B453;Criptococose óssea
649;B457;Criptococose disseminada
650;B458;Outras formas de criptococose
651;B459;Criptococose não especificada
652;B460;Mucormicose pulmonar
653;B461;Mucormicose rinocerebral
654;B462;Mucormicose gastrointestinal
655;B463;Mucormicose cutânea
656;B464;Mucormicose disseminada
657;B465;Mucormicose não especificada
658;B468;Outras zigomicoses
659;B469;Zigomicose não especificada
660;B470;Eumicetoma
661;B471;Actinomicetoma
662;B479;Micetoma não especificado
663;B480;Lobomicose
664;B481;Rinosporidiose
665;B482;Alesqueriose
666;B483;Geotricose
667;B484;Penicilose
668;B487;Micoses oportunistas
669;B488;Outras micoses especificadas
670;B49;Micose não especificada
671;B500;Malária por Plasmodium falciparum com complicações cerebrais
672;B508;Outras formas graves e complicadas de malária por Plasmodium falciparum
673;B509;Malária não especificada por Plasmodium falciparum
674;B510;Malária por Plasmodium vivax com rotura do baço
675;B518;Malária por Plasmodium vivax com outras complicações
676;B519;Malária por Plasmodium vivax sem complicações
677;B520;Malária por Plasmodium malariae com nefropatia
